"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"onnx/onnx-tensorflow",false,747,14,"main",8,36,"Other",53,1131,293,1987,"2017-10-05T09:30:34","2022-11-16T09:58:31","2022-12-09T03:12:47","","Python",522,241,528,9,"2022-11-16T09:58:31","ee0c5e537b3cebbddc5773871e6786e6468c7f3f",true,false
"tensorflow/agents",false,2148,18,"master",0,113,"Apache License 2.0",81,2357,651,12326,"2018-11-17T12:29:12","2022-09-29T08:17:14","2022-10-01T12:34:21","","Python",571,132,186,8,"2022-09-27T04:48:37","eef5c67115f971e014aff021497ef1332c1e0f9a",true,false
"tensorflow/model-card-toolkit",false,253,5,"main",6,16,"Apache License 2.0",19,356,76,9407,"2020-07-24T04:48:58","2023-01-18T03:01:29","2023-01-28T10:11:50","https://www.tensorflow.org/responsible_ai/model_card_toolkit/guide","Python",18,4,228,6,"2023-01-18T12:55:42","ee1ead6f1d60bba9a7f788671f33795ecdf44fc3",true,false
"tensorflow/hub",false,1097,17,"master",15,90,"Apache License 2.0",142,3198,1671,13426,"2018-03-12T07:55:42","2022-10-28T08:51:46","2022-11-01T12:36:06","https://tensorflow.org/hub","Python",657,15,205,1,"2022-10-28T08:51:44","7c15db56e1e8ff5c88a0583051fd4b579c7e81db",true,false
"tensorflow/federated",false,4212,196,"main",37,91,"Apache License 2.0",67,1926,488,61944,"2018-12-12T11:15:35","2022-09-05T03:50:01","2022-09-05T02:08:50","","Python",329,62,2875,138,"2022-09-02T08:55:04","1b6e39848c3f5c394ffab442360661d5c3301bec",true,false
"tensorflow/model-optimization",false,786,135,"master",18,70,"Apache License 2.0",126,1362,301,2358,"2018-10-31T08:34:28","2023-01-19T06:45:39","2023-01-30T05:28:00","https://www.tensorflow.org/model_optimization","Python",311,154,724,31,"2022-12-19T04:59:20","d7259cae513726b593597c0f823da3455d245d7b",true,false
"tensorflow/neural-structured-learning",false,554,1,"master",7,35,"Apache License 2.0",47,956,191,30174,"2019-08-27T09:48:16","2023-01-11T10:16:16","2023-01-11T02:19:44","https://www.tensorflow.org/neural_structured_learning","Python",68,2,59,0,"2023-01-11T10:16:13","e0d716b9941f63aed28735865004c2db48cb140f",true,false
"tensorflow/recommenders",false,342,9,"main",15,33,"Apache License 2.0",48,1499,229,791,"2020-06-26T09:38:01","2022-12-30T01:07:02","2023-01-04T04:49:03","","Python",323,164,282,26,"2022-12-19T09:36:51","28a28f02e524f14f3e6facd9e276cc82bbb719df",true,false
"tensorflow/mesh",false,655,22,"master",4,42,"Apache License 2.0",42,1312,230,2328,"2018-09-20T08:23:34","2022-10-04T12:51:59","2022-10-03T06:31:42","","Python",79,65,306,31,"2022-10-04T12:51:55","a9a13a8031ed148bd66bf7209e2a9ceacefa205f",false,false
"tensorflow/data-validation",false,864,25,"master",41,21,"Apache License 2.0",48,690,145,4381,"2018-07-02T03:47:02","2023-01-11T10:56:10","2023-01-10T01:48:42","","Python",154,19,76,9,"2023-01-11T10:56:09","8baacae61633f8e72e1252489e0936eb0f6013ec",true,false
"tensorflow/datasets",false,4947,121,"master",22,243,"Apache License 2.0",105,3346,1299,978840,"2018-09-10T09:27:22","2022-08-05T08:25:59","2022-08-08T05:38:03","https://www.tensorflow.org/datasets","Python",978,357,3061,243,"2022-08-03T08:06:09","3db2bf78a2b25fd55c2a9c1e4d59db8af05bb94a",false,false
"tensorflow/addons",false,1490,22,"master",34,190,"Apache License 2.0",57,1600,598,6052,"2018-11-26T11:57:17","2023-01-05T09:24:19","2023-01-06T05:26:22","","Python",944,220,1848,40,"2022-12-14T03:25:34","14af819a7dbbb857c6a210dcaa38120d1c55e312",false,false
"tensorflow/transform",false,824,22,"master",41,23,"Apache License 2.0",58,938,209,4316,"2017-02-10T12:36:53","2022-10-07T02:57:32","2022-10-09T02:14:28",,"Python",187,32,94,12,"2022-10-07T02:57:31","862496fd47c92b66bc0c5db437ef71c8a055dacc",true,false
"tensorflow/text",false,750,192,"master",43,93,"Apache License 2.0",40,998,247,12666,"2019-05-29T10:10:03","2022-10-31T06:36:11","2022-10-27T01:54:02","https://www.tensorflow.org/beta/tutorials/tensorflow_text/intro","C++",184,36,850,60,"2022-10-28T09:46:40","196fdb14ad98a6c5989f2d03562ddd4a699aed9f",true,false
"tensorflow/cloud",false,574,27,"master",17,25,"Apache License 2.0",27,340,78,1855,"2020-02-10T06:51:59","2022-12-22T09:34:34","2022-12-23T01:36:51","https://github.com/tensorflow/cloud","Python",87,60,312,16,"2022-12-22T09:34:29","dfd9ca1fe2200d10584c09ab8c3b392c82871d99",true,false
"tensorflow/graphics",false,760,22,"master",1,33,"Apache License 2.0",94,2695,362,7382,"2019-01-08T10:39:44","2023-01-19T06:45:50","2023-01-29T06:31:01","","Python",174,82,539,64,"2023-01-19T05:26:48","6dc81015c54af6bd3139249a33407b0e23fb3e90",true,false
"tensorflow/serving",false,7539,63,"master",98,184,"Apache License 2.0",237,5743,2182,17145,"2016-01-26T09:48:20","2023-01-12T04:15:20","2023-01-17T07:34:54","https://www.tensorflow.org/serving","C++",1396,117,685,34,"2023-01-12T04:15:17","bedf391e8617cd3b1cf01ac5efd9e2fe8543a6ca",false,false
"tensorflow/lingvo",false,4263,5,"master",0,59,"Apache License 2.0",118,2616,411,147324,"2018-07-24T10:30:28","2022-10-03T11:10:38","2022-09-30T09:24:44","","Python",242,103,56,0,"2022-09-30T04:31:59","4865818f3f01285e2e2a00b1d57f76dd1af755d6",true,false
"tensorflow/models",false,8487,55,"master",25,373,"Other",2817,74484,46037,607599,"2016-02-05T01:15:20","2022-09-30T06:40:50","2022-10-04T12:42:32","","Python",6995,1110,3666,175,"2022-09-30T06:40:47","fde2f60efa4080c0466c55ed873be0e20744a7d1",true,false
"tensorflow/tfx",false,4463,503,"master",81,134,"Apache License 2.0",86,1815,610,234424,"2019-02-04T05:14:36","2022-09-06T02:10:21","2022-09-03T05:59:10","https://tensorflow.org/tfx","Python",777,199,4399,34,"2022-09-06T02:10:17","41a35d86c75e378f9a18f76bb3ec2f9c46247c79",true,false
"tensorflow/playground",false,247,6,"master",0,17,"Apache License 2.0",486,10415,2297,1398,"2016-04-04T06:18:40","2022-06-06T04:34:46","2022-06-09T07:15:49","http://playground.tensorflow.org","TypeScript",100,78,63,26,"2022-06-06T04:34:36","02469bd3751764b20486015d4202b792af5362a6",true,false
"tensorflow/profiler",false,418,35,"master",0,19,"Apache License 2.0",14,279,46,31686,"2020-03-10T03:58:33","2022-10-07T10:33:40","2022-10-12T07:45:12",,"TypeScript",87,50,414,22,"2022-10-07T10:33:35","bff90ff232b0629a4a5c9c22f589f13e15decca8",true,false
"tensorflow/tfjs",false,5368,247,"master",74,306,"Apache License 2.0",323,16375,1744,161027,"2018-03-05T05:41:02","2022-07-11T10:17:35","2022-07-11T11:24:35","https://js.tensorflow.org","TypeScript",3464,487,3134,140,"2022-07-08T07:02:52","8f52822884dee2bd51dfc58955d535ae5e4e4521",false,false
